Time Bucket (America/New_York),30 Bellevue_1 (kWhs),30 Bellevue_2 (kWhs),Tesla Charger (kWhs),Heat Pump Attic (kWhs),Heat Pump Basement (kWhs),Oven (kWhs)
10/06/2022 19:00:00,1.3975,1.3268,0.2237,0.0043,0.0026,0.0063
10/06/2022 20:00:00,1.0333,0.9954,0.0000,0.0034,0.0018,0.0054
10/06/2022 21:00:00,0.4654,0.6103,0.0000,0.0029,0.0006,0.0033
10/06/2022 22:00:00,0.4013,0.5873,0.0000,0.0035,0.0006,0.0036
10/06/2022 23:00:00,0.3765,0.6007,0.0000,0.0041,0.0008,0.0036
10/07/2022 00:00:00,0.3791,0.4681,0.0000,0.0041,0.0008,0.0037
10/07/2022 01:00:00,0.3804,0.5046,0.0000,0.0039,0.0008,0.0047
10/07/2022 02:00:00,0.3787,0.4993,0.0000,0.0042,0.0008,0.0044
10/07/2022 03:00:00,0.3804,0.5059,0.0000,0.0040,0.0009,0.0045
10/07/2022 04:00:00,0.3770,0.8945,0.0001,0.0059,0.0011,0.0075
10/07/2022 05:00:00,0.5645,1.2502,0.3663,0.0070,0.0013,0.0086
10/07/2022 06:00:00,0.9648,0.9773,0.0001,0.0146,0.0025,0.0056
10/07/2022 07:00:00,0.8090,0.8618,0.0001,0.0353,0.0014,0.0053
10/07/2022 08:00:00,0.3914,0.4986,0.0000,0.0040,0.0008,0.0039
10/07/2022 09:00:00,0.4663,0.4403,0.0000,0.0038,0.0009,0.0031
10/07/2022 10:00:00,0.6910,0.5186,0.0000,0.0033,0.0006,0.0034
10/07/2022 11:00:00,0.5477,0.4979,0.0000,0.0041,0.0008,0.0032
10/07/2022 12:00:00,0.5159,0.6044,0.0000,0.0049,0.0010,0.0036
10/07/2022 13:00:00,1.3745,1.4663,0.0015,0.0065,0.0032,0.0079
10/07/2022 14:00:00,2.2486,0.7321,0.0002,0.0021,0.0044,0.0010
10/07/2022 15:00:00,0.5130,0.4905,0.0000,0.0030,0.0008,0.0028
10/07/2022 16:00:00,1.1007,0.8755,0.0001,0.0029,0.0006,0.0055
10/07/2022 17:00:00,0.9582,0.7691,0.0001,0.0032,0.0014,0.0041
10/07/2022 18:00:00,1.5027,0.9427,0.0000,0.0030,0.0031,0.0035
10/07/2022 19:00:00,1.5058,1.0358,0.0002,0.0027,0.0028,0.0045
10/07/2022 20:00:00,0.9094,0.5850,0.0000,0.0016,0.0010,0.0029
10/07/2022 21:00:00,0.4699,0.4998,0.0000,0.0021,0.0006,0.0035
10/07/2022 22:00:00,0.4072,0.4764,0.0000,0.0030,0.0008,0.0043
10/07/2022 23:00:00,0.3934,0.4504,0.0000,0.0029,0.0009,0.0041
10/08/2022 00:00:00,0.3966,0.5227,0.0000,0.0034,0.0010,0.0048
10/08/2022 01:00:00,0.3946,0.4617,0.0000,0.0031,0.0009,0.0041
10/08/2022 02:00:00,0.4049,0.4363,0.0000,0.0237,0.0071,0.0039
10/08/2022 03:00:00,0.4142,0.4895,0.0000,0.0290,0.0240,0.0045
10/08/2022 04:00:00,0.3936,0.4390,0.0000,0.0032,0.0009,0.0041
10/08/2022 05:00:00,4.3230,4.8104,7.8823,0.0204,0.0275,0.0158
10/08/2022 06:00:00,1.5699,1.6580,0.0004,0.0362,0.0022,1.3702
10/08/2022 07:00:00,1.2101,1.0232,0.0001,0.0041,0.0135,0.5504
10/08/2022 08:00:00,0.7137,0.5308,0.0000,0.0062,0.0159,0.1249
10/08/2022 09:00:00,0.8822,0.5761,0.0000,0.0413,0.0016,0.0567
10/08/2022 10:00:00,1.2122,0.5885,0.0000,0.0082,0.0004,0.0033
10/08/2022 11:00:00,1.0061,0.7031,0.0000,0.0031,0.0201,0.4993
10/08/2022 12:00:00,0.4762,0.6345,0.0000,0.0041,0.0011,0.0948
10/08/2022 13:00:00,0.5171,1.0471,0.0001,0.0051,0.0010,0.0075
10/08/2022 14:00:00,0.3911,0.5473,0.0000,0.0034,0.0008,0.0035
10/08/2022 15:00:00,0.3847,0.5187,0.0000,0.0034,0.0009,0.0034
