,period,subba-name,value,value-units
4117,2019-01-10T10,Dominion Virginia Power zone,12805,megawatthours
4116,2019-01-10T11,Dominion Virginia Power zone,13880,megawatthours
4115,2019-01-10T12,Dominion Virginia Power zone,15213,megawatthours
4114,2019-01-10T13,Dominion Virginia Power zone,15747,megawatthours
4113,2019-01-10T14,Dominion Virginia Power zone,15169,megawatthours
4112,2019-01-10T15,Dominion Virginia Power zone,14393,megawatthours
4111,2019-01-10T16,Dominion Virginia Power zone,13825,megawatthours
4110,2019-01-10T17,Dominion Virginia Power zone,13419,megawatthours
4109,2019-01-10T18,Dominion Virginia Power zone,13042,megawatthours
4108,2019-01-10T19,Dominion Virginia Power zone,12767,megawatthours
4107,2019-01-10T20,Dominion Virginia Power zone,12622,megawatthours
4106,2019-01-10T21,Dominion Virginia Power zone,12801,megawatthours
4105,2019-01-10T22,Dominion Virginia Power zone,13494,megawatthours
4104,2019-01-10T23,Dominion Virginia Power zone,14741,megawatthours
4103,2019-01-11T00,Dominion Virginia Power zone,15183,megawatthours
4102,2019-01-11T01,Dominion Virginia Power zone,15247,megawatthours
4101,2019-01-11T02,Dominion Virginia Power zone,15220,megawatthours
4100,2019-01-11T03,Dominion Virginia Power zone,14780,megawatthours
4099,2019-01-11T04,Dominion Virginia Power zone,14055,megawatthours
4098,2019-01-11T05,Dominion Virginia Power zone,13506,megawatthours
4097,2019-01-11T06,Dominion Virginia Power zone,13268,megawatthours
4096,2019-01-11T07,Dominion Virginia Power zone,13192,megawatthours
4095,2019-01-11T08,Dominion Virginia Power zone,13292,megawatthours
4094,2019-01-11T09,Dominion Virginia Power zone,13569,megawatthours
4093,2019-01-11T10,Dominion Virginia Power zone,14062,megawatthours
4092,2019-01-11T11,Dominion Virginia Power zone,14956,megawatthours
4091,2019-01-11T12,Dominion Virginia Power zone,16116,megawatthours
4090,2019-01-11T13,Dominion Virginia Power zone,16583,megawatthours
4089,2019-01-11T14,Dominion Virginia Power zone,15911,megawatthours
4088,2019-01-11T15,Dominion Virginia Power zone,14991,megawatthours
4087,2019-01-11T16,Dominion Virginia Power zone,14249,megawatthours
4086,2019-01-11T17,Dominion Virginia Power zone,13575,megawatthours
4085,2019-01-11T18,Dominion Virginia Power zone,12992,megawatthours
4084,2019-01-11T19,Dominion Virginia Power zone,12649,megawatthours
4083,2019-01-11T20,Dominion Virginia Power zone,12374,megawatthours
4082,2019-01-11T21,Dominion Virginia Power zone,12404,megawatthours
4081,2019-01-11T22,Dominion Virginia Power zone,13081,megawatthours
4080,2019-01-11T23,Dominion Virginia Power zone,14219,megawatthours
4079,2019-01-12T00,Dominion Virginia Power zone,14685,megawatthours
4078,2019-01-12T01,Dominion Virginia Power zone,14713,megawatthours
4077,2019-01-12T02,Dominion Virginia Power zone,14513,megawatthours
4076,2019-01-12T03,Dominion Virginia Power zone,14322,megawatthours
4075,2019-01-12T04,Dominion Virginia Power zone,13903,megawatthours
4074,2019-01-12T05,Dominion Virginia Power zone,13493,megawatthours
4073,2019-01-12T06,Dominion Virginia Power zone,13154,megawatthours
4072,2019-01-12T07,Dominion Virginia Power zone,12989,megawatthours
4071,2019-01-12T08,Dominion Virginia Power zone,12876,megawatthours
4070,2019-01-12T09,Dominion Virginia Power zone,12866,megawatthours
4069,2019-01-12T10,Dominion Virginia Power zone,12978,megawatthours
4068,2019-01-12T11,Dominion Virginia Power zone,13183,megawatthours
4067,2019-01-12T12,Dominion Virginia Power zone,13499,megawatthours
4066,2019-01-12T13,Dominion Virginia Power zone,13875,megawatthours
4065,2019-01-12T14,Dominion Virginia Power zone,14201,megawatthours
4064,2019-01-12T15,Dominion Virginia Power zone,14214,megawatthours
4063,2019-01-12T16,Dominion Virginia Power zone,14102,megawatthours
4062,2019-01-12T17,Dominion Virginia Power zone,13907,megawatthours
4061,2019-01-12T18,Dominion Virginia Power zone,13574,megawatthours
4060,2019-01-12T19,Dominion Virginia Power zone,13417,megawatthours
4059,2019-01-12T20,Dominion Virginia Power zone,13378,megawatthours
4058,2019-01-12T21,Dominion Virginia Power zone,13545,megawatthours
4057,2019-01-12T22,Dominion Virginia Power zone,13994,megawatthours
4056,2019-01-12T23,Dominion Virginia Power zone,14654,megawatthours
4055,2019-01-13T00,Dominion Virginia Power zone,14804,megawatthours
4054,2019-01-13T01,Dominion Virginia Power zone,14690,megawatthours
4053,2019-01-13T02,Dominion Virginia Power zone,14440,megawatthours
4052,2019-01-13T03,Dominion Virginia Power zone,14152,megawatthours
4051,2019-01-13T04,Dominion Virginia Power zone,13678,megawatthours
4050,2019-01-13T05,Dominion Virginia Power zone,13192,megawatthours
4049,2019-01-13T06,Dominion Virginia Power zone,12846,megawatthours
4048,2019-01-13T07,Dominion Virginia Power zone,12621,megawatthours
4047,2019-01-13T08,Dominion Virginia Power zone,12509,megawatthours
4046,2019-01-13T09,Dominion Virginia Power zone,12436,megawatthours
4045,2019-01-13T10,Dominion Virginia Power zone,12524,megawatthours
4044,2019-01-13T11,Dominion Virginia Power zone,12705,megawatthours
4043,2019-01-13T12,Dominion Virginia Power zone,13013,megawatthours
4042,2019-01-13T13,Dominion Virginia Power zone,13490,megawatthours
4041,2019-01-13T14,Dominion Virginia Power zone,13879,megawatthours
4040,2019-01-13T15,Dominion Virginia Power zone,14186,megawatthours
4039,2019-01-13T16,Dominion Virginia Power zone,14346,megawatthours
4038,2019-01-13T17,Dominion Virginia Power zone,14329,megawatthours
4037,2019-01-13T18,Dominion Virginia Power zone,14310,megawatthours
4036,2019-01-13T19,Dominion Virginia Power zone,14241,megawatthours
4035,2019-01-13T20,Dominion Virginia Power zone,14199,megawatthours
4034,2019-01-13T21,Dominion Virginia Power zone,14211,megawatthours
4033,2019-01-13T22,Dominion Virginia Power zone,14517,megawatthours
4032,2019-01-13T23,Dominion Virginia Power zone,15140,megawatthours
4031,2019-01-14T00,Dominion Virginia Power zone,15211,megawatthours
4030,2019-01-14T01,Dominion Virginia Power zone,15092,megawatthours
4029,2019-01-14T02,Dominion Virginia Power zone,14880,megawatthours
4028,2019-01-14T03,Dominion Virginia Power zone,14451,megawatthours
4027,2019-01-14T04,Dominion Virginia Power zone,13966,megawatthours
4026,2019-01-14T05,Dominion Virginia Power zone,13453,megawatthours
4025,2019-01-14T06,Dominion Virginia Power zone,13214,megawatthours
4024,2019-01-14T07,Dominion Virginia Power zone,13085,megawatthours
4023,2019-01-14T08,Dominion Virginia Power zone,13089,megawatthours
4022,2019-01-14T09,Dominion Virginia Power zone,13274,megawatthours
4021,2019-01-14T10,Dominion Virginia Power zone,13663,megawatthours
4020,2019-01-14T11,Dominion Virginia Power zone,14323,megawatthours
4019,2019-01-14T12,Dominion Virginia Power zone,15138,megawatthours
4018,2019-01-14T13,Dominion Virginia Power zone,15611,megawatthours
4017,2019-01-14T14,Dominion Virginia Power zone,15654,megawatthours
4016,2019-01-14T15,Dominion Virginia Power zone,15403,megawatthours
4015,2019-01-14T16,Dominion Virginia Power zone,15073,megawatthours
4014,2019-01-14T17,Dominion Virginia Power zone,14755,megawatthours
4013,2019-01-14T18,Dominion Virginia Power zone,14420,megawatthours
4012,2019-01-14T19,Dominion Virginia Power zone,14060,megawatthours
4011,2019-01-14T20,Dominion Virginia Power zone,13810,megawatthours
4010,2019-01-14T21,Dominion Virginia Power zone,13693,megawatthours
4009,2019-01-14T22,Dominion Virginia Power zone,14157,megawatthours
4008,2019-01-14T23,Dominion Virginia Power zone,15259,megawatthours
4007,2019-01-15T00,Dominion Virginia Power zone,15644,megawatthours
4006,2019-01-15T01,Dominion Virginia Power zone,15639,megawatthours
4005,2019-01-15T02,Dominion Virginia Power zone,15363,megawatthours
4004,2019-01-15T03,Dominion Virginia Power zone,14944,megawatthours
4003,2019-01-15T04,Dominion Virginia Power zone,14272,megawatthours
4002,2019-01-15T05,Dominion Virginia Power zone,13714,megawatthours
4001,2019-01-15T06,Dominion Virginia Power zone,13384,megawatthours
4000,2019-01-15T07,Dominion Virginia Power zone,13311,megawatthours
3999,2019-01-15T08,Dominion Virginia Power zone,13322,megawatthours
3998,2019-01-15T09,Dominion Virginia Power zone,13480,megawatthours
3997,2019-01-15T10,Dominion Virginia Power zone,13992,megawatthours
3996,2019-01-15T11,Dominion Virginia Power zone,14797,megawatthours
3995,2019-01-15T12,Dominion Virginia Power zone,15817,megawatthours
3994,2019-01-15T13,Dominion Virginia Power zone,16325,megawatthours
3993,2019-01-15T14,Dominion Virginia Power zone,16016,megawatthours
3992,2019-01-15T15,Dominion Virginia Power zone,15222,megawatthours
3991,2019-01-15T16,Dominion Virginia Power zone,14298,megawatthours
3990,2019-01-15T17,Dominion Virginia Power zone,13588,megawatthours
3989,2019-01-15T18,Dominion Virginia Power zone,13018,megawatthours
3988,2019-01-15T19,Dominion Virginia Power zone,12664,megawatthours
3987,2019-01-15T20,Dominion Virginia Power zone,12605,megawatthours
3986,2019-01-15T21,Dominion Virginia Power zone,12579,megawatthours
3985,2019-01-15T22,Dominion Virginia Power zone,13129,megawatthours
3984,2019-01-15T23,Dominion Virginia Power zone,14251,megawatthours
