,Date,Hour Starting,period,respondent,fueltype,type-name,value,value-units
246,2024-08-11,6,2024-08-11T07-05,ERCO,COL,Coal,5324,megawatthours
247,2024-08-11,7,2024-08-11T08-05,ERCO,COL,Coal,5312,megawatthours
248,2024-08-11,8,2024-08-11T09-05,ERCO,COL,Coal,5224,megawatthours
249,2024-08-11,9,2024-08-11T10-05,ERCO,COL,Coal,5106,megawatthours
250,2024-08-11,10,2024-08-11T11-05,ERCO,COL,Coal,5377,megawatthours
251,2024-08-11,11,2024-08-11T12-05,ERCO,COL,Coal,5923,megawatthours
252,2024-08-11,12,2024-08-11T13-05,ERCO,COL,Coal,7377,megawatthours
253,2024-08-11,13,2024-08-11T14-05,ERCO,COL,Coal,8943,megawatthours
254,2024-08-11,14,2024-08-11T15-05,ERCO,COL,Coal,9846,megawatthours
255,2024-08-11,15,2024-08-11T16-05,ERCO,COL,Coal,10475,megawatthours
256,2024-08-11,16,2024-08-11T17-05,ERCO,COL,Coal,10369,megawatthours
257,2024-08-11,17,2024-08-11T18-05,ERCO,COL,Coal,9705,megawatthours
258,2024-08-11,18,2024-08-11T19-05,ERCO,COL,Coal,8912,megawatthours
259,2024-08-11,19,2024-08-11T20-05,ERCO,COL,Coal,10415,megawatthours
260,2024-08-11,20,2024-08-11T21-05,ERCO,COL,Coal,10947,megawatthours
261,2024-08-11,21,2024-08-11T22-05,ERCO,COL,Coal,10400,megawatthours
262,2024-08-11,22,2024-08-11T23-05,ERCO,COL,Coal,8505,megawatthours
263,2024-08-11,23,2024-08-12T00-05,ERCO,COL,Coal,7643,megawatthours
264,2024-08-12,0,2024-08-12T01-05,ERCO,COL,Coal,6084,megawatthours
265,2024-08-12,1,2024-08-12T02-05,ERCO,COL,Coal,5436,megawatthours
266,2024-08-12,2,2024-08-12T03-05,ERCO,COL,Coal,5355,megawatthours
267,2024-08-12,3,2024-08-12T04-05,ERCO,COL,Coal,5364,megawatthours
268,2024-08-12,4,2024-08-12T05-05,ERCO,COL,Coal,5385,megawatthours
269,2024-08-12,5,2024-08-12T06-05,ERCO,COL,Coal,5634,megawatthours
270,2024-08-12,6,2024-08-12T07-05,ERCO,COL,Coal,6743,megawatthours
271,2024-08-12,7,2024-08-12T08-05,ERCO,COL,Coal,7232,megawatthours
272,2024-08-12,8,2024-08-12T09-05,ERCO,COL,Coal,6342,megawatthours
273,2024-08-12,9,2024-08-12T10-05,ERCO,COL,Coal,5636,megawatthours
274,2024-08-12,10,2024-08-12T11-05,ERCO,COL,Coal,6334,megawatthours
275,2024-08-12,11,2024-08-12T12-05,ERCO,COL,Coal,8529,megawatthours
276,2024-08-12,12,2024-08-12T13-05,ERCO,COL,Coal,9788,megawatthours
277,2024-08-12,13,2024-08-12T14-05,ERCO,COL,Coal,10254,megawatthours
278,2024-08-12,14,2024-08-12T15-05,ERCO,COL,Coal,10572,megawatthours
279,2024-08-12,15,2024-08-12T16-05,ERCO,COL,Coal,10608,megawatthours
280,2024-08-12,16,2024-08-12T17-05,ERCO,COL,Coal,10617,megawatthours
281,2024-08-12,17,2024-08-12T18-05,ERCO,COL,Coal,10487,megawatthours
282,2024-08-12,18,2024-08-12T19-05,ERCO,COL,Coal,9861,megawatthours
283,2024-08-12,19,2024-08-12T20-05,ERCO,COL,Coal,10852,megawatthours
284,2024-08-12,20,2024-08-12T21-05,ERCO,COL,Coal,11212,megawatthours
285,2024-08-12,21,2024-08-12T22-05,ERCO,COL,Coal,10366,megawatthours
286,2024-08-12,22,2024-08-12T23-05,ERCO,COL,Coal,9246,megawatthours
287,2024-08-12,23,2024-08-13T00-05,ERCO,COL,Coal,8237,megawatthours
288,2024-08-13,0,2024-08-13T01-05,ERCO,COL,Coal,7237,megawatthours
289,2024-08-13,1,2024-08-13T02-05,ERCO,COL,Coal,6774,megawatthours
290,2024-08-13,2,2024-08-13T03-05,ERCO,COL,Coal,6365,megawatthours
291,2024-08-13,3,2024-08-13T04-05,ERCO,COL,Coal,6123,megawatthours
292,2024-08-13,4,2024-08-13T05-05,ERCO,COL,Coal,6093,megawatthours
293,2024-08-13,5,2024-08-13T06-05,ERCO,COL,Coal,6661,megawatthours
294,2024-08-13,6,2024-08-13T07-05,ERCO,COL,Coal,7473,megawatthours
295,2024-08-13,7,2024-08-13T08-05,ERCO,COL,Coal,7471,megawatthours
296,2024-08-13,8,2024-08-13T09-05,ERCO,COL,Coal,6792,megawatthours
297,2024-08-13,9,2024-08-13T10-05,ERCO,COL,Coal,5818,megawatthours
298,2024-08-13,10,2024-08-13T11-05,ERCO,COL,Coal,5724,megawatthours
299,2024-08-13,11,2024-08-13T12-05,ERCO,COL,Coal,7249,megawatthours
300,2024-08-13,12,2024-08-13T13-05,ERCO,COL,Coal,9363,megawatthours
301,2024-08-13,13,2024-08-13T14-05,ERCO,COL,Coal,9742,megawatthours
302,2024-08-13,14,2024-08-13T15-05,ERCO,COL,Coal,10170,megawatthours
303,2024-08-13,15,2024-08-13T16-05,ERCO,COL,Coal,10017,megawatthours
304,2024-08-13,16,2024-08-13T17-05,ERCO,COL,Coal,9538,megawatthours
305,2024-08-13,17,2024-08-13T18-05,ERCO,COL,Coal,10135,megawatthours
306,2024-08-13,18,2024-08-13T19-05,ERCO,COL,Coal,10589,megawatthours
307,2024-08-13,19,2024-08-13T20-05,ERCO,COL,Coal,10878,megawatthours
308,2024-08-13,20,2024-08-13T21-05,ERCO,COL,Coal,11267,megawatthours
309,2024-08-13,21,2024-08-13T22-05,ERCO,COL,Coal,10866,megawatthours
310,2024-08-13,22,2024-08-13T23-05,ERCO,COL,Coal,9877,megawatthours
311,2024-08-13,23,2024-08-14T00-05,ERCO,COL,Coal,8080,megawatthours
312,2024-08-14,0,2024-08-14T01-05,ERCO,COL,Coal,6578,megawatthours
313,2024-08-14,1,2024-08-14T02-05,ERCO,COL,Coal,5839,megawatthours
314,2024-08-14,2,2024-08-14T03-05,ERCO,COL,Coal,5522,megawatthours
315,2024-08-14,3,2024-08-14T04-05,ERCO,COL,Coal,5422,megawatthours
316,2024-08-14,4,2024-08-14T05-05,ERCO,COL,Coal,5445,megawatthours
317,2024-08-14,5,2024-08-14T06-05,ERCO,COL,Coal,5855,megawatthours
318,2024-08-14,6,2024-08-14T07-05,ERCO,COL,Coal,6521,megawatthours
319,2024-08-14,7,2024-08-14T08-05,ERCO,COL,Coal,6423,megawatthours
320,2024-08-14,8,2024-08-14T09-05,ERCO,COL,Coal,5383,megawatthours
321,2024-08-14,9,2024-08-14T10-05,ERCO,COL,Coal,4998,megawatthours
