,period,respondent-name,value,value-units
3875,2019-01-20T12,Tennessee,20731,megawatthours
3874,2019-01-20T13,Tennessee,21603,megawatthours
3873,2019-01-20T14,Tennessee,22446,megawatthours
3872,2019-01-20T15,Tennessee,23400,megawatthours
3871,2019-01-20T16,Tennessee,23648,megawatthours
3870,2019-01-20T17,Tennessee,23423,megawatthours
3869,2019-01-20T18,Tennessee,22927,megawatthours
3868,2019-01-20T19,Tennessee,22545,megawatthours
3867,2019-01-20T20,Tennessee,21922,megawatthours
3866,2019-01-20T21,Tennessee,21346,megawatthours
3865,2019-01-20T22,Tennessee,21470,megawatthours
3864,2019-01-20T23,Tennessee,22415,megawatthours
3863,2019-01-21T00,Tennessee,24025,megawatthours
3862,2019-01-21T01,Tennessee,24579,megawatthours
3861,2019-01-21T02,Tennessee,24644,megawatthours
3860,2019-01-21T03,Tennessee,24355,megawatthours
3859,2019-01-21T04,Tennessee,24150,megawatthours
3858,2019-01-21T05,Tennessee,23827,megawatthours
3857,2019-01-21T06,Tennessee,23464,megawatthours
3856,2019-01-21T07,Tennessee,23562,megawatthours
3855,2019-01-21T08,Tennessee,23720,megawatthours
3854,2019-01-21T09,Tennessee,24049,megawatthours
3853,2019-01-21T10,Tennessee,24477,megawatthours
3852,2019-01-21T11,Tennessee,25132,megawatthours
3851,2019-01-21T12,Tennessee,26341,megawatthours
3850,2019-01-21T13,Tennessee,27528,megawatthours
3849,2019-01-21T14,Tennessee,27801,megawatthours
3848,2019-01-21T15,Tennessee,27170,megawatthours
3847,2019-01-21T16,Tennessee,26282,megawatthours
3846,2019-01-21T17,Tennessee,25269,megawatthours
3845,2019-01-21T18,Tennessee,24217,megawatthours
3844,2019-01-21T19,Tennessee,23325,megawatthours
3843,2019-01-21T20,Tennessee,22592,megawatthours
3842,2019-01-21T21,Tennessee,22066,megawatthours
3841,2019-01-21T22,Tennessee,22007,megawatthours
3840,2019-01-21T23,Tennessee,22823,megawatthours
3839,2019-01-22T00,Tennessee,24574,megawatthours
3838,2019-01-22T01,Tennessee,25393,megawatthours
3837,2019-01-22T02,Tennessee,25370,megawatthours
3836,2019-01-22T03,Tennessee,25109,megawatthours
3835,2019-01-22T04,Tennessee,24439,megawatthours
3834,2019-01-22T05,Tennessee,23500,megawatthours
3833,2019-01-22T06,Tennessee,22777,megawatthours
3832,2019-01-22T07,Tennessee,22604,megawatthours
3831,2019-01-22T08,Tennessee,22504,megawatthours
3830,2019-01-22T09,Tennessee,22472,megawatthours
3829,2019-01-22T10,Tennessee,22814,megawatthours
3828,2019-01-22T11,Tennessee,23454,megawatthours
