,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4635,2023-02-11T19-06,ERCO,SUN,Solar,71,megawatthours,2023-02-11,18
4634,2023-02-11T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,19
4633,2023-02-11T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,20
4632,2023-02-11T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,21
4631,2023-02-11T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,22
4630,2023-02-12T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,23
4629,2023-02-12T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,0
4628,2023-02-12T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,1
4627,2023-02-12T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,2
4626,2023-02-12T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,3
4625,2023-02-12T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,4
4624,2023-02-12T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,5
4623,2023-02-12T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,6
4622,2023-02-12T08-06,ERCO,SUN,Solar,535,megawatthours,2023-02-12,7
4621,2023-02-12T09-06,ERCO,SUN,Solar,3814,megawatthours,2023-02-12,8
4620,2023-02-12T10-06,ERCO,SUN,Solar,6584,megawatthours,2023-02-12,9
4619,2023-02-12T11-06,ERCO,SUN,Solar,6690,megawatthours,2023-02-12,10
4618,2023-02-12T12-06,ERCO,SUN,Solar,6506,megawatthours,2023-02-12,11
4617,2023-02-12T13-06,ERCO,SUN,Solar,7464,megawatthours,2023-02-12,12
4616,2023-02-12T14-06,ERCO,SUN,Solar,9050,megawatthours,2023-02-12,13
4615,2023-02-12T15-06,ERCO,SUN,Solar,9089,megawatthours,2023-02-12,14
4614,2023-02-12T16-06,ERCO,SUN,Solar,8666,megawatthours,2023-02-12,15
4613,2023-02-12T17-06,ERCO,SUN,Solar,7874,megawatthours,2023-02-12,16
4612,2023-02-12T18-06,ERCO,SUN,Solar,3526,megawatthours,2023-02-12,17
4611,2023-02-12T19-06,ERCO,SUN,Solar,181,megawatthours,2023-02-12,18
4610,2023-02-12T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,19
4609,2023-02-12T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,20
4608,2023-02-12T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,21
4607,2023-02-12T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,22
4606,2023-02-13T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-12,23
4605,2023-02-13T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,0
4604,2023-02-13T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,1
4603,2023-02-13T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,2
4602,2023-02-13T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,3
4601,2023-02-13T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,4
4600,2023-02-13T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,5
4599,2023-02-13T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-13,6
4598,2023-02-13T08-06,ERCO,SUN,Solar,323,megawatthours,2023-02-13,7
4597,2023-02-13T09-06,ERCO,SUN,Solar,2755,megawatthours,2023-02-13,8
4596,2023-02-13T10-06,ERCO,SUN,Solar,4730,megawatthours,2023-02-13,9
4595,2023-02-13T11-06,ERCO,SUN,Solar,5787,megawatthours,2023-02-13,10
4594,2023-02-13T12-06,ERCO,SUN,Solar,6327,megawatthours,2023-02-13,11
4593,2023-02-13T13-06,ERCO,SUN,Solar,6079,megawatthours,2023-02-13,12
4592,2023-02-13T14-06,ERCO,SUN,Solar,5300,megawatthours,2023-02-13,13
4591,2023-02-13T15-06,ERCO,SUN,Solar,4494,megawatthours,2023-02-13,14
4590,2023-02-13T16-06,ERCO,SUN,Solar,3246,megawatthours,2023-02-13,15
4589,2023-02-13T17-06,ERCO,SUN,Solar,1919,megawatthours,2023-02-13,16
4588,2023-02-13T18-06,ERCO,SUN,Solar,893,megawatthours,2023-02-13,17
