,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
10/13/22,0,100,100,0,100,100,0
10/14/22,0,100,100,0,100,100,0
10/15/22,0,100,100,1,100,100,0
10/16/22,0,100,100,7,100,100,0
10/17/22,0,100,100,52,100,100,0
10/18/22,0,100,100,93,100,100,0
10/19/22,0,100,100,100,100,100,0
10/20/22,0,100,100,100,100,100,0
10/21/22,0,100,100,100,100,100,0
10/22/22,0,100,100,100,100,100,0
10/23/22,0,100,100,100,100,100,0
10/24/22,0,100,100,100,100,100,0
10/25/22,0,100,100,100,100,100,0
10/26/22,0,100,100,100,100,100,0
10/27/22,0,100,100,100,100,100,0
10/28/22,0,100,100,100,100,100,0
10/29/22,0,100,100,100,100,100,0
10/30/22,0,100,100,100,100,100,0
10/31/22,0,100,100,100,100,100,0
11/1/22,0,100,100,100,100,100,0
11/2/22,0,100,100,100,100,100,0
11/3/22,0,100,100,100,100,100,0
11/4/22,0,100,100,100,100,100,0
11/5/22,0,100,100,100,100,100,0
11/6/22,0,100,100,100,100,100,0
11/7/22,0,100,100,100,100,100,0
11/8/22,0,100,100,100,100,100,0
11/9/22,0,100,100,100,100,100,0
11/10/22,0,100,100,100,100,100,0
11/11/22,0,100,100,100,100,100,0
11/12/22,0,100,100,100,100,100,0
11/13/22,0,100,100,100,100,100,0
11/14/22,0,100,100,100,100,100,0
11/15/22,0,100,100,100,100,100,0
11/16/22,0,100,100,100,100,100,0
11/17/22,0,100,100,100,100,100,0
11/18/22,0,100,100,100,100,100,0
11/19/22,0,100,100,100,100,100,0
11/20/22,0,100,97,100,100,100,0
11/21/22,0,100,100,100,100,100,0
11/22/22,0,100,100,90,100,100,0
11/23/22,0,100,100,100,100,100,0
11/24/22,0,100,100,100,100,100,0
11/25/22,0,100,100,100,100,100,0
11/26/22,0,100,100,100,100,100,0
11/27/22,0,100,100,100,92,100,0
11/28/22,0,100,100,100,100,100,0
11/29/22,0,100,100,100,100,100,0
11/30/22,0,100,100,99,100,100,0
12/1/22,0,100,100,99,97,100,0
12/2/22,0,100,100,99,100,100,0
12/3/22,0,100,100,97,100,100,0
12/4/22,0,100,100,98,100,100,0
12/5/22,0,100,100,98,100,100,0
12/6/22,0,100,100,97,100,100,0
12/7/22,0,100,100,97,100,100,0
12/8/22,0,100,100,97,100,100,0
12/9/22,0,100,100,96,100,100,0
12/10/22,0,100,100,96,100,100,0
12/11/22,0,100,100,96,100,100,0
12/12/22,0,100,100,95,100,100,0
12/13/22,0,100,100,95,100,100,0
12/14/22,0,100,100,95,100,100,0
12/15/22,0,100,100,99,100,100,0
12/16/22,0,100,100,99,100,100,0
12/17/22,0,100,100,99,100,100,0
12/18/22,0,100,100,98,100,100,0
12/19/22,0,100,100,98,100,100,0
12/20/22,0,100,100,98,100,100,0
12/21/22,0,100,100,98,100,100,0
12/22/22,1,100,100,98,100,100,0
12/23/22,14,100,100,98,100,100,0
12/24/22,18,100,100,98,100,100,0
12/25/22,50,100,100,97,100,100,0
12/26/22,92,100,100,97,100,100,0
12/27/22,100,100,100,97,100,100,0
12/28/22,100,100,100,96,100,100,0
12/29/22,100,100,100,96,100,100,0
12/30/22,100,100,100,96,100,100,0
12/31/22,100,100,100,95,100,100,0
1/1/23,100,100,100,95,100,100,0
1/2/23,100,100,100,95,100,100,0
1/3/23,100,100,100,94,100,100,0
1/4/23,100,100,100,94,100,100,0
1/5/23,100,100,100,94,100,100,0
1/6/23,100,100,100,93,100,100,0
1/7/23,100,100,100,93,100,100,0
1/8/23,100,100,100,93,100,100,0
1/9/23,100,100,100,93,100,100,0
1/10/23,100,100,100,93,100,100,0
1/11/23,100,100,100,92,100,100,0
1/12/23,100,100,100,92,100,100,0
1/13/23,100,100,100,92,100,100,0
1/14/23,100,100,100,91,100,100,0
1/15/23,100,100,100,91,100,100,0
1/16/23,100,100,100,91,100,100,0
1/17/23,100,100,100,90,100,100,0
1/18/23,100,100,100,89,100,100,0
1/19/23,100,100,100,89,100,100,0
1/20/23,100,100,100,82,100,100,0
1/21/23,100,100,100,86,100,100,0
1/22/23,100,100,100,87,100,100,0
1/23/23,100,100,100,86,100,100,0
1/24/23,100,100,97,86,100,100,0
1/25/23,100,100,97,86,100,100,0
1/26/23,100,100,100,86,100,100,0
1/27/23,100,100,100,86,100,100,0
1/28/23,100,100,100,86,100,100,0
1/29/23,100,100,100,0,100,100,0
1/30/23,100,100,100,0,100,100,0
1/31/23,100,100,100,0,100,100,0
2/1/23,100,100,100,0,100,100,0
2/2/23,0,100,100,0,100,100,0
2/3/23,0,100,100,0,100,100,0
2/4/23,0,100,100,0,100,100,0
2/5/23,60,100,100,0,100,100,0
2/6/23,99,100,100,0,100,100,0
2/7/23,100,100,100,0,100,100,0
2/8/23,100,100,100,0,100,100,0
2/9/23,100,100,100,0,100,100,0
2/10/23,100,100,100,0,100,100,0
2/11/23,100,100,100,0,100,100,0
2/12/23,100,100,100,0,100,100,0
2/13/23,100,100,100,0,100,100,0
2/14/23,100,100,100,0,100,100,0
2/15/23,100,100,100,0,100,100,0
2/16/23,100,100,100,0,100,100,0
2/17/23,100,100,100,0,100,100,0
2/18/23,100,100,100,0,100,100,0
2/19/23,100,100,100,0,100,100,0
2/20/23,100,100,100,0,100,100,0
2/21/23,100,100,100,0,100,100,0
2/22/23,100,100,100,0,99,100,0
2/23/23,100,100,100,0,99,100,0
2/24/23,100,100,100,0,99,100,0
2/25/23,100,100,100,0,98,100,0
2/26/23,100,100,100,0,97,100,0
2/27/23,100,100,100,20,97,100,0
2/28/23,100,100,100,18,95,100,0
3/1/23,100,100,100,17,95,100,0
3/2/23,100,100,100,34,95,100,0
3/3/23,100,100,100,54,92,100,0
3/4/23,100,100,100,96,90,100,0
3/5/23,100,100,100,98,0,100,0
3/6/23,100,100,100,100,0,100,0
3/7/23,100,100,100,100,0,100,0
3/8/23,100,100,100,100,0,100,0
3/9/23,100,100,100,100,0,100,4
3/10/23,100,100,100,100,0,100,9
3/11/23,100,100,100,100,0,100,18
3/12/23,100,100,91,79,0,100,18
3/13/23,100,100,100,100,0,100,18
3/14/23,100,100,100,100,0,100,18
3/15/23,100,100,100,100,0,100,18
3/16/23,100,100,100,100,0,100,0
3/17/23,100,100,100,100,0,100,0
3/18/23,100,100,100,100,0,100,0
3/19/23,100,100,100,100,0,100,0
3/20/23,100,100,100,100,0,100,0
3/21/23,100,100,100,100,0,100,18
3/22/23,100,100,100,100,0,100,18
3/23/23,100,100,100,100,0,100,18
3/24/23,100,100,100,100,0,100,18
3/25/23,100,100,100,100,0,100,18
3/26/23,100,100,100,100,0,100,17
3/27/23,100,100,100,100,0,100,18
3/28/23,100,100,100,100,0,100,18
3/29/23,100,100,100,100,0,100,18
3/30/23,100,100,100,20,0,100,18
3/31/23,100,100,100,71,42,100,18
4/1/23,100,100,100,0,83,100,18
4/2/23,100,100,100,0,100,100,25
4/3/23,100,100,100,62,100,100,25
4/4/23,100,100,100,94,100,100,25
4/5/23,100,100,100,100,100,100,25
4/6/23,100,100,100,100,100,100,25
4/7/23,100,100,100,100,100,100,25
4/8/23,100,100,100,100,100,100,25
4/9/23,100,100,100,100,100,100,0
4/10/23,100,99,100,100,100,100,0
4/11/23,100,100,100,100,100,100,0
4/12/23,100,100,100,100,100,100,0
4/13/23,100,100,100,100,100,100,0
4/14/23,100,100,100,100,100,100,0
4/15/23,100,100,100,100,100,100,0
4/16/23,100,100,100,100,100,100,15
4/17/23,100,100,100,100,100,100,34
4/18/23,100,100,100,100,100,100,49
4/19/23,100,100,100,100,100,100,48
4/20/23,100,100,100,100,100,100,46
4/21/23,100,100,100,100,100,100,49
4/22/23,100,100,100,100,100,100,29
4/23/23,100,100,100,100,100,100,50
4/24/23,100,100,100,100,100,100,51
4/25/23,100,100,100,100,100,100,51
4/26/23,100,100,100,100,100,100,52
4/27/23,100,100,100,100,100,100,51
4/28/23,100,100,100,100,100,100,51
4/29/23,100,100,100,100,100,100,50
4/30/23,100,100,100,100,100,100,50
5/1/23,100,100,100,100,100,100,50
5/2/23,100,100,100,100,100,100,0
5/3/23,100,100,100,100,100,100,0
5/4/23,100,100,100,100,100,100,0
5/5/23,100,100,100,100,100,100,0
5/6/23,100,100,100,100,100,100,0
5/7/23,100,100,100,100,100,100,0
5/8/23,100,100,100,100,100,100,0
5/9/23,100,100,100,100,100,100,0
5/10/23,100,100,100,100,100,100,0
5/11/23,100,100,100,100,100,100,0
5/12/23,100,100,100,100,100,100,0
5/13/23,100,100,79,100,100,100,0
5/14/23,100,100,95,100,100,100,0
5/15/23,100,100,100,100,100,100,0
5/16/23,100,100,100,100,100,100,0
5/17/23,100,100,100,100,100,100,15
5/18/23,100,100,100,100,100,100,45
5/19/23,100,100,60,100,100,100,75
5/20/23,100,100,0,100,100,100,75
5/21/23,100,100,0,100,100,100,75
5/22/23,100,100,0,100,100,100,75
5/23/23,100,100,22,100,100,100,80
5/24/23,100,100,50,100,100,100,90
5/25/23,100,100,97,100,100,100,90
5/26/23,100,100,100,100,100,100,90
5/27/23,100,100,100,100,100,100,98
5/28/23,100,100,100,100,100,100,98
5/29/23,100,100,100,100,100,100,100
5/30/23,100,100,100,100,100,100,100
5/31/23,100,100,100,100,100,100,100
6/1/23,100,100,100,100,100,100,98
6/2/23,100,100,100,100,100,100,100
6/3/23,100,70,100,100,100,100,100
6/4/23,100,100,100,100,100,100,77
6/5/23,100,100,100,100,100,100,100
6/6/23,100,100,100,100,100,100,98
6/7/23,100,100,100,100,100,100,0
6/8/23,100,100,100,100,100,100,18
6/9/23,100,100,100,100,100,100,32
6/10/23,100,100,100,100,100,100,51
6/11/23,100,100,100,100,100,100,0
6/12/23,100,100,100,100,100,100,0
6/13/23,100,100,100,100,100,100,0
6/14/23,100,0,91,100,100,100,0
6/15/23,100,0,100,100,100,100,0
6/16/23,100,0,100,100,100,100,0
6/17/23,100,0,100,100,100,100,0
6/18/23,100,0,100,100,100,100,0
6/19/23,100,0,100,100,100,100,0
6/20/23,100,30,100,100,100,100,0
6/21/23,100,97,100,100,100,100,0
6/22/23,100,100,100,100,100,100,0
6/23/23,100,100,100,100,100,100,0
6/24/23,100,100,100,100,0,100,0
6/25/23,100,100,100,100,0,100,0
6/26/23,100,100,100,100,0,100,0
6/27/23,100,100,100,100,0,100,0
6/28/23,100,100,100,100,0,100,0
6/29/23,100,100,100,100,100,100,0
6/30/23,100,100,100,100,100,100,0
7/1/23,100,100,100,100,100,100,0
7/2/23,100,100,100,100,100,100,0
7/3/23,100,100,100,100,100,100,0
7/4/23,100,100,100,100,100,100,0
7/5/23,100,100,100,100,100,100,0
7/6/23,100,100,100,100,100,100,0
7/7/23,100,100,100,100,100,100,15
7/8/23,100,100,100,100,100,100,15
7/9/23,100,100,100,100,100,100,60
7/10/23,100,100,100,100,100,100,0
7/11/23,100,100,100,100,100,100,0
7/12/23,100,100,100,100,100,100,0
7/13/23,100,100,100,100,100,100,0
7/14/23,100,100,100,100,100,100,0
7/15/23,100,100,100,100,100,100,15
7/16/23,100,100,100,100,100,100,0
7/17/23,100,100,100,100,100,100,0
7/18/23,100,100,100,100,100,100,0
7/19/23,100,100,100,100,100,100,17
7/20/23,100,100,100,100,100,100,17
7/21/23,100,100,100,100,100,100,51
7/22/23,100,100,100,100,100,100,0
7/23/23,100,100,100,100,100,100,0
7/24/23,100,100,100,100,100,100,0
7/25/23,100,100,100,100,100,100,0
7/26/23,100,100,100,100,100,100,25
7/27/23,100,100,100,100,100,100,46
7/28/23,100,100,100,100,100,100,98
7/29/23,100,100,100,100,100,100,100
7/30/23,100,100,100,100,100,100,100
7/31/23,100,100,100,100,100,100,100
8/1/23,100,100,100,100,100,100,100
8/2/23,100,100,65,100,100,100,100
8/3/23,100,100,70,100,100,100,100
8/4/23,100,100,70,100,100,100,100
8/5/23,100,100,70,100,100,100,100
8/6/23,100,100,70,100,100,100,100
8/7/23,100,100,70,100,100,100,100
8/8/23,100,100,70,100,100,100,100
8/9/23,100,100,70,100,100,100,100
8/10/23,100,100,99,100,100,100,100
8/11/23,100,100,100,100,100,100,100
8/12/23,100,100,100,100,100,100,100
8/13/23,100,100,100,100,100,100,100
8/14/23,100,100,94,100,100,100,100
8/15/23,100,100,94,100,100,100,100
8/16/23,100,100,89,100,100,100,100
8/17/23,100,100,100,100,100,100,100
8/18/23,100,100,100,100,100,100,100
8/19/23,100,100,100,100,100,100,100
8/20/23,100,100,100,100,100,100,100
8/21/23,100,100,100,100,100,100,100
8/22/23,100,100,100,100,100,100,100
8/23/23,100,100,100,100,0,100,100
8/24/23,100,100,100,100,0,100,100
8/25/23,100,100,100,100,40,99,100
8/26/23,100,100,100,100,53,99,100
8/27/23,100,100,100,100,49,97,100
8/28/23,100,100,100,100,52,96,100
8/29/23,100,100,100,100,82,96,100
8/30/23,100,100,100,100,100,95,100
8/31/23,100,100,100,100,100,94,100
9/1/23,100,100,100,100,100,93,100
9/2/23,100,100,100,100,100,91,100
9/3/23,100,100,100,100,100,91,100
9/4/23,100,100,100,100,100,90,100
9/5/23,100,100,100,100,100,89,100
9/6/23,100,100,100,100,100,88,100
9/7/23,100,100,100,100,100,87,100
9/8/23,100,100,100,100,100,86,100
