"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"10/13/2022 8 a.m. PDT",0,165,108,221,1136,961
LDWP,"10/13/2022 9 a.m. PDT",0,609,0,172,982,905
LDWP,"10/13/2022 10 a.m. PDT",0,881,0,126,828,744
LDWP,"10/13/2022 11 a.m. PDT",7,944,0,145,947,726
LDWP,"10/13/2022 12 p.m. PDT",40,987,0,116,809,763
LDWP,"10/13/2022 1 p.m. PDT",76,987,0,119,802,804
LDWP,"10/13/2022 2 p.m. PDT",72,979,0,130,831,809
LDWP,"10/13/2022 3 p.m. PDT",73,931,0,140,852,853
LDWP,"10/13/2022 4 p.m. PDT",86,847,100,152,892,858
LDWP,"10/13/2022 5 p.m. PDT",73,607,291,221,1189,999
LDWP,"10/13/2022 6 p.m. PDT",46,167,314,231,1445,1163
LDWP,"10/13/2022 7 p.m. PDT",32,1,289,225,1042,1120
LDWP,"10/13/2022 8 p.m. PDT",39,0,188,231,1388,858
LDWP,"10/13/2022 9 p.m. PDT",70,0,186,232,1449,831
LDWP,"10/13/2022 10 p.m. PDT",46,0,185,232,1246,1048
LDWP,"10/13/2022 11 p.m. PDT",12,0,186,237,1177,1130
LDWP,"10/14/2022 12 a.m. PDT",3,0,186,231,1265,768
LDWP,"10/14/2022 1 a.m. PDT",2,0,1,223,1266,665
LDWP,"10/14/2022 2 a.m. PDT",1,0,0,225,1187,661
LDWP,"10/14/2022 3 a.m. PDT",2,0,0,214,1018,629
LDWP,"10/14/2022 4 a.m. PDT",1,0,0,216,987,618
LDWP,"10/14/2022 5 a.m. PDT",0,0,0,224,1019,614
LDWP,"10/14/2022 6 a.m. PDT",0,0,0,226,1020,639
LDWP,"10/14/2022 7 a.m. PDT",0,0,0,227,1020,840
LDWP,"10/14/2022 8 a.m. PDT",0,155,0,222,873,1023
LDWP,"10/14/2022 9 a.m. PDT",0,620,0,149,679,915
LDWP,"10/14/2022 10 a.m. PDT",1,897,0,123,623,728
LDWP,"10/14/2022 11 a.m. PDT",4,972,0,120,771,466
LDWP,"10/14/2022 12 p.m. PDT",8,990,0,119,823,430
LDWP,"10/14/2022 1 p.m. PDT",19,985,0,114,786,423
