"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"12/11/2022 9 a.m. EST",205,42,1057,0,1639,-21,2891
CPLE,"12/11/2022 10 a.m. EST",536,43,1040,0,1609,-21,2896
CPLE,"12/11/2022 11 a.m. EST",759,39,938,0,1506,-20,2895
CPLE,"12/11/2022 12 p.m. EST",888,41,918,0,1499,-22,2893
CPLE,"12/11/2022 1 p.m. EST",837,44,875,0,1509,-20,2893
CPLE,"12/11/2022 2 p.m. EST",596,38,932,0,1640,-20,2890
CPLE,"12/11/2022 3 p.m. EST",428,43,961,0,1628,-21,2891
CPLE,"12/11/2022 4 p.m. EST",232,41,1027,0,1637,-19,2889
CPLE,"12/11/2022 5 p.m. EST",73,40,1060,0,1616,-22,2890
CPLE,"12/11/2022 6 p.m. EST",26,42,1061,0,1721,-20,2890
CPLE,"12/11/2022 7 p.m. EST",29,40,1084,0,1856,-21,2889
CPLE,"12/11/2022 8 p.m. EST",29,41,1083,0,1772,-21,2887
CPLE,"12/11/2022 9 p.m. EST",-2,41,1116,0,1706,-20,2891
CPLE,"12/11/2022 10 p.m. EST",-2,42,1108,0,1690,-20,2892
CPLE,"12/11/2022 11 p.m. EST",-3,42,1067,0,1612,-21,2883
CPLE,"12/12/2022 12 a.m. EST",-2,16,1003,0,1613,-19,2888
CPLE,"12/12/2022 1 a.m. EST",-1,31,1005,0,1613,-20,2890
CPLE,"12/12/2022 2 a.m. EST",0,37,1022,0,1655,-20,2886
CPLE,"12/12/2022 3 a.m. EST",-1,41,1041,-2,1689,-21,2889
CPLE,"12/12/2022 4 a.m. EST",-1,41,1108,0,1681,-19,2887
CPLE,"12/12/2022 5 a.m. EST",-3,39,1135,-5,1670,-20,2883
CPLE,"12/12/2022 6 a.m. EST",-3,42,1194,0,1743,-20,2887
