,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4690,2023-12-07T20-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,19
4689,2023-12-07T20-06,ERCO,NG,Natural Gas,11306,megawatthours,2023-12-07,19
4688,2023-12-07T21-06,ERCO,WND,Wind,23779,megawatthours,2023-12-07,20
4687,2023-12-07T21-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,20
4686,2023-12-07T21-06,ERCO,NG,Natural Gas,11214,megawatthours,2023-12-07,20
4685,2023-12-07T22-06,ERCO,WND,Wind,23773,megawatthours,2023-12-07,21
4684,2023-12-07T22-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,21
4683,2023-12-07T22-06,ERCO,NG,Natural Gas,10534,megawatthours,2023-12-07,21
4680,2023-12-07T23-06,ERCO,NG,Natural Gas,8900,megawatthours,2023-12-07,22
4682,2023-12-07T23-06,ERCO,WND,Wind,23753,megawatthours,2023-12-07,22
4681,2023-12-07T23-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,22
4679,2023-12-08T00-06,ERCO,WND,Wind,23511,megawatthours,2023-12-07,23
4678,2023-12-08T00-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,23
4677,2023-12-08T00-06,ERCO,NG,Natural Gas,7595,megawatthours,2023-12-07,23
4676,2023-12-08T01-06,ERCO,WND,Wind,23521,megawatthours,2023-12-08,0
4675,2023-12-08T01-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,0
4674,2023-12-08T01-06,ERCO,NG,Natural Gas,6079,megawatthours,2023-12-08,0
4673,2023-12-08T02-06,ERCO,WND,Wind,23419,megawatthours,2023-12-08,1
4672,2023-12-08T02-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,1
4671,2023-12-08T02-06,ERCO,NG,Natural Gas,5875,megawatthours,2023-12-08,1
4670,2023-12-08T03-06,ERCO,WND,Wind,23092,megawatthours,2023-12-08,2
4669,2023-12-08T03-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,2
4668,2023-12-08T03-06,ERCO,NG,Natural Gas,5916,megawatthours,2023-12-08,2
4667,2023-12-08T04-06,ERCO,WND,Wind,22642,megawatthours,2023-12-08,3
4666,2023-12-08T04-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,3
4665,2023-12-08T04-06,ERCO,NG,Natural Gas,6060,megawatthours,2023-12-08,3
4662,2023-12-08T05-06,ERCO,NG,Natural Gas,6384,megawatthours,2023-12-08,4
4664,2023-12-08T05-06,ERCO,WND,Wind,22603,megawatthours,2023-12-08,4
4663,2023-12-08T05-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,4
4661,2023-12-08T06-06,ERCO,WND,Wind,22896,megawatthours,2023-12-08,5
4659,2023-12-08T06-06,ERCO,NG,Natural Gas,7285,megawatthours,2023-12-08,5
4660,2023-12-08T06-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,5
4658,2023-12-08T07-06,ERCO,WND,Wind,22327,megawatthours,2023-12-08,6
4656,2023-12-08T07-06,ERCO,NG,Natural Gas,9629,megawatthours,2023-12-08,6
4657,2023-12-08T07-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,6
4655,2023-12-08T08-06,ERCO,WND,Wind,20461,megawatthours,2023-12-08,7
4654,2023-12-08T08-06,ERCO,SUN,Solar,137,megawatthours,2023-12-08,7
4653,2023-12-08T08-06,ERCO,NG,Natural Gas,11511,megawatthours,2023-12-08,7
4652,2023-12-08T09-06,ERCO,WND,Wind,18289,megawatthours,2023-12-08,8
4651,2023-12-08T09-06,ERCO,SUN,Solar,3482,megawatthours,2023-12-08,8
4650,2023-12-08T09-06,ERCO,NG,Natural Gas,11477,megawatthours,2023-12-08,8
4649,2023-12-08T10-06,ERCO,WND,Wind,15576,megawatthours,2023-12-08,9
4648,2023-12-08T10-06,ERCO,SUN,Solar,7455,megawatthours,2023-12-08,9
4647,2023-12-08T10-06,ERCO,NG,Natural Gas,11655,megawatthours,2023-12-08,9
4646,2023-12-08T11-06,ERCO,WND,Wind,14142,megawatthours,2023-12-08,10
4645,2023-12-08T11-06,ERCO,SUN,Solar,8234,megawatthours,2023-12-08,10
4644,2023-12-08T11-06,ERCO,NG,Natural Gas,11991,megawatthours,2023-12-08,10
4641,2023-12-08T12-06,ERCO,NG,Natural Gas,12039,megawatthours,2023-12-08,11
4643,2023-12-08T12-06,ERCO,WND,Wind,13248,megawatthours,2023-12-08,11
4642,2023-12-08T12-06,ERCO,SUN,Solar,8573,megawatthours,2023-12-08,11
4640,2023-12-08T13-06,ERCO,WND,Wind,13147,megawatthours,2023-12-08,12
4639,2023-12-08T13-06,ERCO,SUN,Solar,9254,megawatthours,2023-12-08,12
4638,2023-12-08T13-06,ERCO,NG,Natural Gas,12279,megawatthours,2023-12-08,12
4637,2023-12-08T14-06,ERCO,WND,Wind,14093,megawatthours,2023-12-08,13
4636,2023-12-08T14-06,ERCO,SUN,Solar,9635,megawatthours,2023-12-08,13
4635,2023-12-08T14-06,ERCO,NG,Natural Gas,12331,megawatthours,2023-12-08,13
4634,2023-12-08T15-06,ERCO,WND,Wind,15249,megawatthours,2023-12-08,14
4633,2023-12-08T15-06,ERCO,SUN,Solar,9546,megawatthours,2023-12-08,14
4632,2023-12-08T15-06,ERCO,NG,Natural Gas,12321,megawatthours,2023-12-08,14
4631,2023-12-08T16-06,ERCO,WND,Wind,16295,megawatthours,2023-12-08,15
4630,2023-12-08T16-06,ERCO,SUN,Solar,8860,megawatthours,2023-12-08,15
4629,2023-12-08T16-06,ERCO,NG,Natural Gas,12450,megawatthours,2023-12-08,15
4628,2023-12-08T17-06,ERCO,WND,Wind,16266,megawatthours,2023-12-08,16
4627,2023-12-08T17-06,ERCO,SUN,Solar,5060,megawatthours,2023-12-08,16
4626,2023-12-08T17-06,ERCO,NG,Natural Gas,15382,megawatthours,2023-12-08,16
4623,2023-12-08T18-06,ERCO,NG,Natural Gas,19271,megawatthours,2023-12-08,17
4625,2023-12-08T18-06,ERCO,WND,Wind,13670,megawatthours,2023-12-08,17
4624,2023-12-08T18-06,ERCO,SUN,Solar,453,megawatthours,2023-12-08,17
4622,2023-12-08T19-06,ERCO,WND,Wind,15940,megawatthours,2023-12-08,18
4620,2023-12-08T19-06,ERCO,NG,Natural Gas,18691,megawatthours,2023-12-08,18
4621,2023-12-08T19-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,18
4619,2023-12-08T20-06,ERCO,WND,Wind,18763,megawatthours,2023-12-08,19
4618,2023-12-08T20-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,19
4617,2023-12-08T20-06,ERCO,NG,Natural Gas,17387,megawatthours,2023-12-08,19
4616,2023-12-08T21-06,ERCO,WND,Wind,20648,megawatthours,2023-12-08,20
4615,2023-12-08T21-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,20
4614,2023-12-08T21-06,ERCO,NG,Natural Gas,15927,megawatthours,2023-12-08,20
4613,2023-12-08T22-06,ERCO,WND,Wind,20453,megawatthours,2023-12-08,21
4612,2023-12-08T22-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,21
4611,2023-12-08T22-06,ERCO,NG,Natural Gas,15253,megawatthours,2023-12-08,21
4610,2023-12-08T23-06,ERCO,WND,Wind,20085,megawatthours,2023-12-08,22
