BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
SOCO,"7/21/2023, Central Time",810101,799076,824137,14036
SOCO,"7/22/2023, Central Time",709156,697048,739534,30378
SOCO,"7/23/2023, Central Time",706091,695187,731822,25731
SOCO,"7/24/2023, Central Time",764561,754391,797184,32623
SOCO,"7/25/2023, Central Time",791230,778337,817611,26381
SOCO,"7/26/2023, Central Time",823926,810290,859327,35401
SOCO,"7/27/2023, Central Time",851766,835689,897538,45772
SOCO,"7/28/2023, Central Time",818805,803425,871582,52777
SOCO,"7/29/2023, Central Time",775465,763930,806443,30978
SOCO,"7/30/2023, Central Time",750913,737043,769181,18268
SOCO,"7/31/2023, Central Time",804406,800637,837092,32686
SOCO,"8/1/2023, Central Time",808525,800041,837620,29095
SOCO,"8/2/2023, Central Time",796764,784239,829475,32711
SOCO,"8/3/2023, Central Time",777664,763592,798216,20552
SOCO,"8/4/2023, Central Time",759980,745934,795443,35463
SOCO,"8/5/2023, Central Time",778367,756919,823152,44785
SOCO,"8/6/2023, Central Time",749898,788738,798943,49045
SOCO,"8/7/2023, Central Time",786129,801553,824906,38777
SOCO,"8/8/2023, Central Time",753963,741291,791224,37261
SOCO,"8/9/2023, Central Time",775670,762703,817375,41705
SOCO,"8/10/2023, Central Time",784903,767165,828983,44080
SOCO,"8/11/2023, Central Time",783128,769517,832510,49382
SOCO,"8/12/2023, Central Time",772476,765389,820763,48287
SOCO,"8/13/2023, Central Time",788279,772779,838714,50435
SOCO,"8/14/2023, Central Time",867587,851344,905406,37819
SOCO,"8/15/2023, Central Time",813402,798309,851724,38322
SOCO,"8/16/2023, Central Time",737022,731465,776833,39811
SOCO,"8/17/2023, Central Time",740788,728555,776469,35681
SOCO,"8/18/2023, Central Time",762599,747904,800430,37831
SOCO,"8/19/2023, Central Time",743692,730259,770987,27295
SOCO,"8/20/2023, Central Time",762913,747298,786631,23718
SOCO,"8/21/2023, Central Time",841459,827331,885165,43706
SOCO,"8/22/2023, Central Time",870637,855607,895246,24609
SOCO,"8/23/2023, Central Time",876753,860667,877979,1226
SOCO,"8/24/2023, Central Time",859832,842478,869812,9980
SOCO,"8/25/2023, Central Time",871888,856666,884901,13013
SOCO,"8/26/2023, Central Time",846227,832946,860509,14282
SOCO,"8/27/2023, Central Time",809071,798324,814430,5359
SOCO,"8/28/2023, Central Time",787257,792440,808686,21429
SOCO,"8/29/2023, Central Time",764727,751152,784483,19756
SOCO,"8/30/2023, Central Time",703110,693738,729055,25945
SOCO,"8/31/2023, Central Time",724013,712904,748152,24139
SOCO,"9/1/2023, Central Time",691593,679781,706867,15274
SOCO,"9/2/2023, Central Time",630086,622350,653841,23755
SOCO,"9/3/2023, Central Time",652653,641483,682270,29617
SOCO,"9/4/2023, Central Time",694967,682905,731726,36759
SOCO,"9/5/2023, Central Time",736461,723995,783423,46962
SOCO,"9/6/2023, Central Time",768241,748543,801864,33623
SOCO,"9/7/2023, Central Time",773747,759831,806823,33076
SOCO,"9/8/2023, Central Time",706975,693395,735443,28468
SOCO,"9/9/2023, Central Time",673663,660127,702844,29181
SOCO,"9/10/2023, Central Time",682115,667645,701782,19667
SOCO,"9/11/2023, Central Time",749330,736051,768766,19436
SOCO,"9/12/2023, Central Time",743509,730967,761567,18058
SOCO,"9/13/2023, Central Time",722129,709948,737386,15257
SOCO,"9/14/2023, Central Time",679904,665864,704966,25062
SOCO,"9/15/2023, Central Time",649572,634076,670658,21086
SOCO,"9/16/2023, Central Time",596378,581398,627803,31425
SOCO,"9/17/2023, Central Time",609303,602485,635976,26673
SOCO,"9/18/2023, Central Time",618143,606221,648668,30525
SOCO,"9/19/2023, Central Time",625428,613698,647914,22486
SOCO,"9/20/2023, Central Time",629021,616907,647984,18963
SOCO,"9/21/2023, Central Time",647088,633290,669552,22464
SOCO,"9/22/2023, Central Time",632573,616525,657761,25188
SOCO,"9/23/2023, Central Time",594984,591661,626416,31432
SOCO,"9/24/2023, Central Time",601251,590203,625232,23981
SOCO,"9/25/2023, Central Time",653943,644931,688077,34134
SOCO,"9/26/2023, Central Time",670719,660136,696519,25800
SOCO,"9/27/2023, Central Time",625994,619843,657422,31428
SOCO,"9/28/2023, Central Time",598177,594322,628891,30714
SOCO,"9/29/2023, Central Time",619573,610662,647979,28406
SOCO,"9/30/2023, Central Time",611095,600763,628929,17834
SOCO,"10/1/2023, Central Time",594309,581780,625807,31498
SOCO,"10/2/2023, Central Time",617242,614198,661060,43818
SOCO,"10/3/2023, Central Time",611883,611347,657685,45802
SOCO,"10/4/2023, Central Time",617981,616865,661226,43245
SOCO,"10/5/2023, Central Time",617066,610048,648377,31311
SOCO,"10/6/2023, Central Time",610364,596919,623993,13629
SOCO,"10/7/2023, Central Time",516829,508384,531005,14176
SOCO,"10/8/2023, Central Time",486528,473292,501722,15194
SOCO,"10/9/2023, Central Time",537494,527089,552649,15155
SOCO,"10/10/2023, Central Time",558260,548265,578594,20334
SOCO,"10/11/2023, Central Time",542748,536407,567096,24348
SOCO,"10/12/2023, Central Time",535347,527056,561414,26067
SOCO,"10/13/2023, Central Time",532172,522299,550880,18708
SOCO,"10/14/2023, Central Time",511708,500396,526684,14976
SOCO,"10/15/2023, Central Time",480415,470481,500790,20375
SOCO,"10/16/2023, Central Time",536232,528345,571477,35245
SOCO,"10/17/2023, Central Time",546662,536733,583910,37248
SOCO,"10/18/2023, Central Time",548777,540446,570898,22121
SOCO,"10/19/2023, Central Time",542553,534584,568694,26141
SOCO,"10/20/2023, Central Time",536035,530778,563458,27423
SOCO,"10/21/2023, Central Time",501695,491589,513226,11531
SOCO,"10/22/2023, Central Time",501057,492571,514232,13175
SOCO,"10/23/2023, Central Time",544015,533633,569593,25578
SOCO,"10/24/2023, Central Time",551884,544038,578016,26132
SOCO,"10/25/2023, Central Time",559554,551501,584669,25115
SOCO,"10/26/2023, Central Time",571088,561676,595394,24306
SOCO,"10/27/2023, Central Time",560810,551743,587090,26280
SOCO,"10/28/2023, Central Time",515797,524010,545299,29502
SOCO,"10/29/2023, Central Time",518578,522356,550509,31931
SOCO,"10/30/2023, Central Time",524736,554736,563300,38564
SOCO,"10/31/2023, Central Time",531578,550922,588329,56751
