"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SE,"7/18/2021, Central Time",691570,687388,721251,28713
SE,"7/19/2021, Central Time",712163,714603,749457,36106
SE,"7/20/2021, Central Time",707034,695534,751698,44055
SE,"7/21/2021, Central Time",757287,737175,796428,39106
SE,"7/22/2021, Central Time",807572,795006,845050,37448
SE,"7/23/2021, Central Time",802598,803768,835920,33408
SE,"7/24/2021, Central Time",773298,760449,799402,25923
SE,"7/25/2021, Central Time",779238,754140,805045,25643
SE,"7/26/2021, Central Time",843180,830964,881287,38085
SE,"7/27/2021, Central Time",824329,832614,866804,42466
SE,"7/28/2021, Central Time",835165,820568,883086,47902
SE,"7/29/2021, Central Time",871568,845731,919929,48346
SE,"7/30/2021, Central Time",861793,843160,905877,44070
SE,"7/31/2021, Central Time",828556,808655,857604,28999
SE,"8/1/2021, Central Time",790452,775234,808840,18414
SE,"8/2/2021, Central Time",776461,773163,812445,35965
SE,"8/3/2021, Central Time",739588,728196,779223,39599
SE,"8/4/2021, Central Time",739201,724173,769622,30414
SE,"8/5/2021, Central Time",747563,740829,776927,29335
SE,"8/6/2021, Central Time",746239,740046,776420,30145
SE,"8/7/2021, Central Time",732651,723504,751011,18044
SE,"8/8/2021, Central Time",748434,731540,775677,26914
SE,"8/9/2021, Central Time",823208,808147,863034,39284
SE,"8/10/2021, Central Time",838030,829740,868074,29228
SE,"8/11/2021, Central Time",796056,787944,837639,40857
SE,"8/12/2021, Central Time",805322,789566,857912,52044
SE,"8/13/2021, Central Time",826797,814315,870152,42813
SE,"8/14/2021, Central Time",784095,774973,807431,22519
SE,"8/15/2021, Central Time",733891,727899,759003,24591
SE,"8/16/2021, Central Time",741350,746997,765836,23962
SE,"8/17/2021, Central Time",744302,731407,784161,39572
SE,"8/18/2021, Central Time",819953,796918,846211,26367
SE,"8/19/2021, Central Time",813451,814642,851359,38010
SE,"8/20/2021, Central Time",783285,763340,820630,37316
SE,"8/21/2021, Central Time",738222,730997,777821,39687
SE,"8/22/2021, Central Time",754114,737365,786418,32270
SE,"8/23/2021, Central Time",825706,811496,855571,29863
SE,"8/24/2021, Central Time",840935,832406,888470,47553
SE,"8/25/2021, Central Time",831871,831877,883405,51545
SE,"8/26/2021, Central Time",805340,790651,842879,37511
SE,"8/27/2021, Central Time",792394,781007,831269,38851
SE,"8/28/2021, Central Time",753902,740970,794730,40636
SE,"8/29/2021, Central Time",736266,730959,783097,46644
SE,"8/30/2021, Central Time",744914,755780,799329,54390
SE,"8/31/2021, Central Time",720484,709884,762799,42112
SE,"9/1/2021, Central Time",759619,744451,793560,33906
SE,"9/2/2021, Central Time",742861,735868,769169,26280
SE,"9/3/2021, Central Time",700505,714474,722499,21964
SE,"9/4/2021, Central Time",652246,653744,676690,24396
SE,"9/5/2021, Central Time",666733,649456,687458,20689
SE,"9/6/2021, Central Time",697604,674348,723291,25660
SE,"9/7/2021, Central Time",744514,728553,761216,16675
SE,"9/8/2021, Central Time",728051,722036,752517,24424
SE,"9/9/2021, Central Time",710028,695313,723980,13918
SE,"9/10/2021, Central Time",649331,641706,676118,26771
SE,"9/11/2021, Central Time",636634,620596,664503,27837
SE,"9/12/2021, Central Time",662294,648619,681876,19548
SE,"9/13/2021, Central Time",715732,706843,743157,27451
SE,"9/14/2021, Central Time",720763,712095,748757,28025
SE,"9/15/2021, Central Time",662249,670535,684354,22138
SE,"9/16/2021, Central Time",657665,637056,685534,27884
SE,"9/17/2021, Central Time",681949,672711,702669,20749
SE,"9/18/2021, Central Time",665602,656617,685235,19607
SE,"9/19/2021, Central Time",648243,635268,665010,16711
SE,"9/20/2021, Central Time",693129,672125,708429,15318
SE,"9/21/2021, Central Time",722656,694773,733138,10506
SE,"9/22/2021, Central Time",661133,649233,674441,13328
SE,"9/23/2021, Central Time",569182,554008,596268,27102
SE,"9/24/2021, Central Time",561887,543416,580089,18210
SE,"9/25/2021, Central Time",548783,538130,574628,25823
SE,"9/26/2021, Central Time",567893,544125,580927,12998
SE,"9/27/2021, Central Time",634741,622508,651989,17275
SE,"9/28/2021, Central Time",658587,647174,674816,16263
SE,"9/29/2021, Central Time",681254,665149,698169,16941
SE,"9/30/2021, Central Time",667487,657120,682459,14995
SE,"10/1/2021, Central Time",678499,670773,687248,8771
SE,"10/2/2021, Central Time",632772,623181,641921,9116
SE,"10/3/2021, Central Time",605786,598635,619583,13754
SE,"10/4/2021, Central Time",645329,633918,652081,6778
SE,"10/5/2021, Central Time",626939,616479,640023,13108
SE,"10/6/2021, Central Time",642088,634043,654754,12684
SE,"10/7/2021, Central Time",659175,642269,673748,14644
SE,"10/8/2021, Central Time",657000,649275,681799,24952
SE,"10/9/2021, Central Time",608429,600987,624650,16289
SE,"10/10/2021, Central Time",601734,593366,624729,23059
SE,"10/11/2021, Central Time",635934,636661,666013,30142
SE,"10/12/2021, Central Time",648002,640360,674138,26200
SE,"10/13/2021, Central Time",656875,643430,693780,36983
SE,"10/14/2021, Central Time",660615,652664,695406,34869
SE,"10/15/2021, Central Time",668736,653587,687872,19206
SE,"10/16/2021, Central Time",566594,561690,596286,29720
SE,"10/17/2021, Central Time",502385,495625,531763,29388
SE,"10/18/2021, Central Time",551255,545480,578982,27801
SE,"10/19/2021, Central Time",571042,557627,610000,39077
SE,"10/20/2021, Central Time",586167,562669,620690,34586
SE,"10/21/2021, Central Time",598083,579036,641713,43699
SE,"10/22/2021, Central Time",590883,572943,635731,44924
SE,"10/23/2021, Central Time",533195,522470,579755,46623
SE,"10/24/2021, Central Time",523612,497194,565838,42281
SE,"10/25/2021, Central Time",600256,587771,641295,40956
SE,"10/26/2021, Central Time",568889,556574,611251,42460
SE,"10/27/2021, Central Time",566415,554356,606969,40521
SE,"10/28/2021, Central Time",569241,548511,605054,35766
SE,"10/29/2021, Central Time",551808,543553,591543,39724
SE,"10/30/2021, Central Time",524886,517461,567830,42921
SE,"10/31/2021, Central Time",515163,503237,560859,45677
SE,"11/1/2021, Central Time",565630,550278,605420,39837
SE,"11/2/2021, Central Time",570334,557302,612909,42619
SE,"11/3/2021, Central Time",578546,567312,628162,49666
SE,"11/4/2021, Central Time",600329,585930,649939,49665
SE,"11/5/2021, Central Time",605448,588297,656706,51313
SE,"11/6/2021, Central Time",585881,573337,612867,26994
SE,"11/7/2021, Central Time",580633,576115,614018,33370
SE,"11/8/2021, Central Time",602613,606262,643447,40882
SE,"11/9/2021, Central Time",591380,586919,634503,43186
SE,"11/10/2021, Central Time",572658,572630,585571,12980
SE,"11/11/2021, Central Time",566452,563970,577704,11267
SE,"11/12/2021, Central Time",555103,554559,590659,35591
SE,"11/13/2021, Central Time",564832,563290,613396,48583
SE,"11/14/2021, Central Time",607622,595945,647247,39643
SE,"11/15/2021, Central Time",584534,623420,627773,43289
SE,"11/16/2021, Central Time",610285,591144,666208,55964
SE,"11/17/2021, Central Time",586270,573403,619716,33479
SE,"11/18/2021, Central Time",584408,564038,637046,52664
SE,"11/19/2021, Central Time",613935,594502,672694,58791
SE,"11/20/2021, Central Time",608162,594664,670890,62720
SE,"11/21/2021, Central Time",555037,549723,603151,48107
SE,"11/22/2021, Central Time",583998,592095,637962,53977
SE,"11/23/2021, Central Time",689207,675686,723525,34411
SE,"11/24/2021, Central Time",697617,687228,729824,32265
SE,"11/25/2021, Central Time",585014,574845,624318,39316
SE,"11/26/2021, Central Time",567038,573768,617230,50218
SE,"11/27/2021, Central Time",631066,626164,666608,35522
SE,"11/28/2021, Central Time",611405,595350,651283,39862
SE,"11/29/2021, Central Time",684725,665171,728707,44018
SE,"11/30/2021, Central Time",693887,685719,723685,29890
SE,"12/1/2021, Central Time",639803,629352,669273,29558
SE,"12/2/2021, Central Time",611205,610680,642914,31761
SE,"12/3/2021, Central Time",584055,583957,623875,39859
SE,"12/4/2021, Central Time",545736,540344,589497,43759
SE,"12/5/2021, Central Time",534231,526826,553778,19534
SE,"12/6/2021, Central Time",582482,570362,619340,36926
SE,"12/7/2021, Central Time",638635,627858,691063,52489
SE,"12/8/2021, Central Time",637674,629252,687615,49995
SE,"12/9/2021, Central Time",672070,651127,718370,46343
SE,"12/10/2021, Central Time",614091,604424,648764,34715
SE,"12/11/2021, Central Time",555618,552861,571413,15796
SE,"12/12/2021, Central Time",594865,579327,636014,41153
SE,"12/13/2021, Central Time",671480,655747,717337,45914
SE,"12/14/2021, Central Time",659813,643555,691123,31366
SE,"12/15/2021, Central Time",625269,620486,641985,16749
SE,"12/16/2021, Central Time",593652,593544,616749,23075
SE,"12/17/2021, Central Time",573966,570039,594699,20697
SE,"12/18/2021, Central Time",544880,535156,557897,12978
SE,"12/19/2021, Central Time",555614,548074,593883,38219
SE,"12/20/2021, Central Time",699529,685586,732148,32618
SE,"12/21/2021, Central Time",721249,707466,729417,8154
SE,"12/22/2021, Central Time",696375,686500,712727,16343
SE,"12/23/2021, Central Time",689333,681154,709979,20621
SE,"12/24/2021, Central Time",601019,591246,601688,-136
SE,"12/25/2021, Central Time",501172,504185,518419,15294
SE,"12/26/2021, Central Time",494741,487116,508070,12322
SE,"12/27/2021, Central Time",534396,538274,554101,19695
SE,"12/28/2021, Central Time",552448,549976,574864,20507
SE,"12/29/2021, Central Time",560460,552769,587688,25757
SE,"12/30/2021, Central Time",562356,559113,582508,18745
SE,"12/31/2021, Central Time",543841,541790,557656,12440
SE,"1/1/2022, Central Time",,,,
