BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ISNE,2/10/2023 10 a.m. EST,12323,12380,10290,-2033
ISNE,2/10/2023 11 a.m. EST,11506,11580,9752,-1754
ISNE,2/10/2023 12 p.m. EST,11143,11210,9741,-1402
ISNE,2/10/2023 1 p.m. EST,10916,10980,9233,-1683
ISNE,2/10/2023 2 p.m. EST,10858,10970,9158,-1700
ISNE,2/10/2023 3 p.m. EST,11010,11530,9093,-1917
ISNE,2/10/2023 4 p.m. EST,11962,12350,9857,-2105
ISNE,2/10/2023 5 p.m. EST,13259,13450,11053,-2206
ISNE,2/10/2023 6 p.m. EST,14296,14550,12106,-2190
ISNE,2/10/2023 7 p.m. EST,14469,14840,12166,-2303
ISNE,2/10/2023 8 p.m. EST,14105,14390,11881,-2224
ISNE,2/10/2023 9 p.m. EST,13638,13830,11013,-2625
ISNE,2/10/2023 10 p.m. EST,13040,13290,10615,-2425
ISNE,2/10/2023 11 p.m. EST,12258,12510,10197,-2061
ISNE,2/11/2023 12 a.m. EST,11577,11720,9815,-1762
ISNE,2/11/2023 1 a.m. EST,11269,11040,9373,-1896
ISNE,2/11/2023 2 a.m. EST,10959,10790,9117,-1842
ISNE,2/11/2023 3 a.m. EST,10840,10650,8930,-1910
ISNE,2/11/2023 4 a.m. EST,10859,10670,8899,-1960
ISNE,2/11/2023 5 a.m. EST,11042,10880,9047,-1995
ISNE,2/11/2023 6 a.m. EST,11509,11270,9275,-2234
ISNE,2/11/2023 7 a.m. EST,11888,11980,9780,-2108
ISNE,2/11/2023 8 a.m. EST,12335,12330,10169,-2166
ISNE,2/11/2023 9 a.m. EST,11889,11920,9971,-1918
ISNE,2/11/2023 10 a.m. EST,11140,11230,9653,-1487
ISNE,2/11/2023 11 a.m. EST,10666,10430,9217,-1449
ISNE,2/11/2023 12 p.m. EST,10236,10140,9011,-1225
